scenario,RMSE_CO_kalman,RMSE_CO_regression,MAE_CO_kalman,MAE_CO_regression,RMSE_NO2_kalman,RMSE_NO2_regression,MAE_NO2_kalman,MAE_NO2_regression,RMSE_PM_kalman,RMSE_PM_regression,MAE_PM_kalman,MAE_PM_regression,compute_us_per_sample
scenario1,2.301115,0.277214,2.135760,0.223080,16.910934,9.722003,13.212916,7.909213,1.341266,1.549071,1.075823,1.237195,197.433833
scenario2,4.380501,1.787087,3.268771,1.422999,16.574589,47.483468,13.304262,40.335774,2.944769,7.057217,1.882096,5.989487,210.695500
scenario3,6.495727,0.815001,6.390614,0.691823,11.848425,64.750448,9.456779,54.865445,0.904056,23.024926,0.723658,22.024565,214.220222
